Roll No,cat 1,cat 2,cat 3,overall,conversion,Result
1375,41,47,24,112,74,fast learners
1376,43,38,33,114,76,fast learners
1377,16,14,34,64,42,slow leaners
1378,35,48,48,131,87,fast learners
1379,22,23,49,94,62,Average learners
1380,43,43,16,102,68,Average learners
1381,41,13,27,81,54,Average learners
1382,40,48,47,135,90,fast learners
1383,14,42,32,88,58,Average learners
1384,29,38,22,89,59,Average learners
1385,20,13,13,46,30,slow leaners
1386,49,31,24,104,69,Average learners
1387,36,26,31,93,62,Average learners
1388,30,36,43,109,72,fast learners
1389,15,37,20,72,48,slow leaners
1390,43,29,37,109,72,fast learners
1391,25,12,28,65,43,slow leaners
1392,26,22,21,69,46,slow leaners
1393,38,16,13,67,44,slow leaners
1394,32,26,48,106,70,fast learners
1395,49,21,11,81,54,Average learners
1396,42,36,18,96,64,Average learners
1397,33,36,15,84,56,Average learners
1398,21,30,40,91,60,Average learners
1399,22,13,41,76,50,Average learners
1400,32,10,33,75,50,Average learners
1401,39,37,26,102,68,Average learners
1402,30,38,43,111,74,fast learners
1403,20,35,33,88,58,Average learners
1404,11,16,37,64,42,slow leaners
1405,21,16,13,50,33,slow leaners
1406,31,29,35,95,63,Average learners
1407,44,49,28,121,80,fast learners
1408,32,35,24,91,60,Average learners
1409,36,36,36,108,72,fast learners
1410,44,47,39,130,86,fast learners
1411,29,42,32,103,68,Average learners
1412,33,43,44,120,80,fast learners
1413,23,29,12,64,42,slow leaners
1414,43,35,45,123,82,fast learners
1415,10,12,37,59,39,slow leaners
1416,38,23,19,80,53,Average learners
1417,40,22,38,100,66,Average learners
1418,19,19,13,51,34,slow leaners
1419,22,48,21,91,60,Average learners
1420,17,25,20,62,41,slow leaners
1421,23,29,48,100,66,Average learners
1422,26,44,42,112,74,fast learners
1423,24,38,38,100,66,Average learners
1424,21,15,27,63,42,slow leaners
1425,47,45,41,133,88,fast learners
1426,42,30,26,98,65,Average learners
1427,12,13,48,73,48,slow leaners
1428,43,37,14,94,62,Average learners
1429,36,28,30,94,62,Average learners
1430,28,20,13,61,40,slow leaners
1431,23,10,24,57,38,slow leaners
1432,20,26,26,72,48,slow leaners
1433,13,31,44,88,58,Average learners
1434,13,29,41,83,55,Average learners
1435,21,45,15,81,54,Average learners
1436,25,41,26,92,61,Average learners
1437,34,12,14,60,40,slow leaners
1438,34,25,29,88,58,Average learners
1439,36,13,17,66,44,slow leaners
1440,32,25,32,89,59,Average learners
1441,15,46,25,86,57,Average learners
1442,39,28,32,99,66,Average learners
1443,38,46,37,121,80,fast learners
1444,40,10,43,93,62,Average learners
1445,27,11,37,75,50,Average learners
1446,27,16,31,74,49,slow leaners
1447,39,24,16,79,52,Average learners
1448,23,34,45,102,68,Average learners
1449,16,21,17,54,36,slow leaners
1450,12,39,18,69,46,slow leaners
1451,20,30,17,67,44,slow leaners
1452,17,42,40,99,66,Average learners
1453,31,29,15,75,50,Average learners
1454,21,40,23,84,56,Average learners
1455,30,43,12,85,56,Average learners
1456,38,12,29,79,52,Average learners
1457,47,44,39,130,86,fast learners
1458,17,27,20,64,42,slow leaners
1459,35,28,30,93,62,Average learners
1460,35,45,36,116,77,fast learners
1461,47,15,29,91,60,Average learners
1462,28,12,28,68,45,slow leaners
1463,10,24,34,68,45,slow leaners
1464,27,19,16,62,41,slow leaners
1465,29,23,31,83,55,Average learners
1466,12,37,42,91,60,Average learners
1467,25,47,22,94,62,Average learners
1468,43,44,17,104,69,Average learners
1469,28,45,37,110,73,fast learners
1470,44,13,43,100,66,Average learners
1471,45,41,48,134,89,fast learners
1472,43,47,44,134,89,fast learners
1473,39,24,18,81,54,Average learners
1474,15,36,44,95,63,Average learners
1475,16,47,42,105,70,fast learners
1476,40,25,24,89,59,Average learners
1477,19,10,27,56,37,slow leaners
1478,28,35,28,91,60,Average learners
1479,33,18,43,94,62,Average learners
1480,26,38,12,76,50,Average learners
1481,28,39,40,107,71,fast learners
1482,48,44,22,114,76,fast learners
1483,40,31,12,83,55,Average learners
1484,31,48,23,102,68,Average learners
1485,28,29,43,100,66,Average learners
1486,10,19,39,68,45,slow leaners
1487,24,43,17,84,56,Average learners
1488,25,20,32,77,51,Average learners
1489,13,33,32,78,52,Average learners
1490,24,37,41,102,68,Average learners
1491,42,37,11,90,60,Average learners
1492,34,44,37,115,76,fast learners
1493,43,17,48,108,72,fast learners
1494,21,11,45,77,51,Average learners
1495,42,35,29,106,70,fast learners
1496,17,26,23,66,44,slow leaners
1497,21,36,20,77,51,Average learners
1498,27,23,11,61,40,slow leaners
1499,11,38,25,74,49,slow leaners
1500,44,38,29,111,74,fast learners
1501,37,20,28,85,56,Average learners
1502,17,30,24,71,47,slow leaners
1503,46,26,32,104,69,Average learners
1504,31,16,49,96,64,Average learners
1505,36,44,40,120,80,fast learners
1506,15,12,20,47,31,slow leaners
1507,41,46,22,109,72,fast learners
1508,32,32,41,105,70,fast learners
1509,44,29,16,89,59,Average learners
1510,37,33,39,109,72,fast learners
1511,13,15,44,72,48,slow leaners
1512,36,25,49,110,73,fast learners
1513,21,29,22,72,48,slow leaners
1514,47,39,33,119,79,fast learners
1515,20,10,16,46,30,slow leaners
1516,22,40,25,87,58,Average learners
1517,20,16,12,48,32,slow leaners
1518,46,28,41,115,76,fast learners
1519,12,49,39,100,66,Average learners
1520,36,45,21,102,68,Average learners
1521,23,31,19,73,48,slow leaners
1522,18,46,48,112,74,fast learners
1523,42,32,48,122,81,fast learners
1524,46,49,43,138,92,fast learners
1525,17,18,14,49,32,slow leaners
1526,32,24,34,90,60,Average learners
1527,39,14,45,98,65,Average learners
1528,18,33,33,84,56,Average learners
1529,38,23,24,85,56,Average learners
1530,34,43,33,110,73,fast learners
1531,22,44,27,93,62,Average learners
1532,18,29,27,74,49,slow leaners
1533,37,15,29,81,54,Average learners
1534,27,34,12,73,48,slow leaners
1535,24,17,43,84,56,Average learners
1536,45,26,31,102,68,Average learners
1537,19,32,34,85,56,Average learners
1538,19,45,34,98,65,Average learners
1539,36,20,18,74,49,slow leaners
1540,36,28,42,106,70,fast learners
1541,12,12,11,35,23,slow leaners
1542,38,25,28,91,60,Average learners
1543,22,10,41,73,48,slow leaners
1544,27,10,27,64,42,slow leaners
1545,18,31,47,96,64,Average learners
1546,25,35,18,78,52,Average learners
1547,16,43,31,90,60,Average learners
1548,41,15,14,70,46,slow leaners
1549,32,45,14,91,60,Average learners
1550,25,22,41,88,58,Average learners
1551,29,40,21,90,60,Average learners
1552,17,35,14,66,44,slow leaners
1553,29,30,11,70,46,slow leaners
1554,33,39,12,84,56,Average learners
1555,10,26,42,78,52,Average learners
1556,11,47,40,98,65,Average learners
1557,33,36,30,99,66,Average learners
1558,20,10,18,48,32,slow leaners
1559,32,23,37,92,61,Average learners
1560,49,34,32,115,76,fast learners
1561,42,31,42,115,76,fast learners
1562,19,25,27,71,47,slow leaners
1563,25,36,45,106,70,fast learners
1564,40,20,20,80,53,Average learners
1565,16,19,25,60,40,slow leaners
1566,48,32,41,121,80,fast learners
1567,29,18,21,68,45,slow leaners
1568,46,29,15,90,60,Average learners
1569,33,34,49,116,77,fast learners
1570,47,25,12,84,56,Average learners
1571,25,26,25,76,50,Average learners
1572,25,47,26,98,65,Average learners
1573,16,30,12,58,38,slow leaners
1574,37,32,37,106,70,fast learners
1575,18,39,38,95,63,Average learners
1576,49,31,11,91,60,Average learners
1577,49,33,43,125,83,fast learners
1578,14,37,31,82,54,Average learners
1579,22,22,19,63,42,slow leaners
1580,45,43,12,100,66,Average learners
1581,35,30,37,102,68,Average learners
1582,38,38,11,87,58,Average learners
1583,12,45,38,95,63,Average learners
1584,29,19,17,65,43,slow leaners
1585,14,21,32,67,44,slow leaners
1586,32,38,43,113,75,fast learners
1587,47,19,33,99,66,Average learners
1588,24,30,43,97,64,Average learners
1589,42,43,33,118,78,fast learners
1590,15,26,36,77,51,Average learners
1591,48,11,26,85,56,Average learners
1592,40,45,23,108,72,fast learners
1593,49,33,49,131,87,fast learners
1594,19,36,49,104,69,Average learners
1595,41,46,38,125,83,fast learners
1596,34,49,43,126,84,fast learners
1597,21,34,19,74,49,slow leaners
1598,26,10,31,67,44,slow leaners
1599,28,24,41,93,62,Average learners
1600,17,40,16,73,48,slow leaners
1601,36,40,39,115,76,fast learners
1602,24,48,33,105,70,fast learners
1603,30,38,13,81,54,Average learners
1604,36,21,17,74,49,slow leaners
1605,32,12,39,83,55,Average learners
1606,16,46,32,94,62,Average learners
1607,41,44,23,108,72,fast learners
1608,44,26,47,117,78,fast learners
1609,35,38,20,93,62,Average learners
1610,39,21,11,71,47,slow leaners
1611,20,24,10,54,36,slow leaners
1612,10,15,31,56,37,slow leaners
1613,13,34,19,66,44,slow leaners
1614,26,43,25,94,62,Average learners
1615,35,41,25,101,67,Average learners
1616,36,20,11,67,44,slow leaners
1617,43,12,44,99,66,Average learners
1618,29,47,21,97,64,Average learners
1619,36,29,46,111,74,fast learners
1620,48,26,17,91,60,Average learners
1621,27,24,40,91,60,Average learners
1622,46,33,19,98,65,Average learners
1623,39,47,31,117,78,fast learners
1624,49,17,44,110,73,fast learners
1625,33,22,42,97,64,Average learners
1626,39,11,46,96,64,Average learners
1627,22,20,27,69,46,slow leaners
1628,18,31,38,87,58,Average learners
1629,43,41,10,94,62,Average learners
1630,18,10,36,64,42,slow leaners
1631,43,46,41,130,86,fast learners
1632,48,31,40,119,79,fast learners
1633,32,27,39,98,65,Average learners
1634,18,26,38,82,54,Average learners
1635,22,27,40,89,59,Average learners
1636,35,44,13,92,61,Average learners
1637,18,10,14,42,28,slow leaners
1638,42,13,41,96,64,Average learners
1639,26,32,28,86,57,Average learners
1640,22,11,17,50,33,slow leaners
1641,45,32,20,97,64,Average learners
1642,30,22,34,86,57,Average learners
1643,26,49,27,102,68,Average learners
1644,17,27,15,59,39,slow leaners
1645,41,13,35,89,59,Average learners
1646,27,49,32,108,72,fast learners
1647,32,41,15,88,58,Average learners
1648,25,45,49,119,79,fast learners
1649,41,13,46,100,66,Average learners
1650,25,27,20,72,48,slow leaners
1651,41,27,20,88,58,Average learners
1652,17,11,20,48,32,slow leaners
1653,10,34,27,71,47,slow leaners
1654,30,27,46,103,68,Average learners
1655,29,15,11,55,36,slow leaners
1656,31,21,42,94,62,Average learners
1657,10,29,46,85,56,Average learners
1658,45,18,27,90,60,Average learners
1659,18,10,44,72,48,slow leaners
1660,24,33,43,100,66,Average learners
1661,29,21,35,85,56,Average learners
1662,38,28,45,111,74,fast learners
1663,40,42,21,103,68,Average learners
1664,41,18,45,104,69,Average learners
1665,22,11,46,79,52,Average learners
1666,22,16,38,76,50,Average learners
1667,30,25,17,72,48,slow leaners
1668,17,32,29,78,52,Average learners
1669,14,36,19,69,46,slow leaners
1670,10,46,47,103,68,Average learners
1671,16,27,42,85,56,Average learners
1672,47,25,20,92,61,Average learners
1673,36,47,41,124,82,fast learners
1674,44,48,43,135,90,fast learners
1675,41,22,26,89,59,Average learners
1676,49,37,30,116,77,fast learners
1677,11,11,24,46,30,slow leaners
1678,43,18,31,92,61,Average learners
1679,45,11,27,83,55,Average learners
1680,40,35,48,123,82,fast learners
1681,41,46,20,107,71,fast learners
1682,41,41,18,100,66,Average learners
1683,31,31,26,88,58,Average learners
1684,39,31,16,86,57,Average learners
1685,42,39,44,125,83,fast learners
1686,15,19,21,55,36,slow leaners
1687,41,38,11,90,60,Average learners
1688,23,14,29,66,44,slow leaners
1689,23,36,31,90,60,Average learners
1690,25,16,41,82,54,Average learners
1691,39,31,14,84,56,Average learners
1692,28,22,22,72,48,slow leaners
1693,40,29,22,91,60,Average learners
1694,41,26,20,87,58,Average learners
1695,23,19,37,79,52,Average learners
1696,13,10,11,34,22,slow leaners
1697,11,34,46,91,60,Average learners
1698,30,14,17,61,40,slow leaners
1699,42,44,29,115,76,fast learners
1700,18,48,13,79,52,Average learners
1701,26,48,20,94,62,Average learners
1702,49,49,33,131,87,fast learners
1703,30,46,23,99,66,Average learners
1704,12,39,35,86,57,Average learners
1705,16,46,36,98,65,Average learners
1706,12,45,12,69,46,slow leaners
1707,15,22,23,60,40,slow leaners
1708,15,12,45,72,48,slow leaners
1709,34,23,22,79,52,Average learners
1710,10,25,21,56,37,slow leaners
1711,29,28,33,90,60,Average learners
1712,30,47,27,104,69,Average learners
1713,24,23,15,62,41,slow leaners
1714,42,41,32,115,76,fast learners
1715,24,11,26,61,40,slow leaners
1716,15,48,41,104,69,Average learners
1717,33,16,32,81,54,Average learners
1718,32,17,28,77,51,Average learners
1719,17,27,33,77,51,Average learners
1720,26,49,10,85,56,Average learners
1721,16,34,10,60,40,slow leaners
1722,49,37,14,100,66,Average learners
1723,44,49,18,111,74,fast learners
1724,15,46,38,99,66,Average learners
1725,47,28,35,110,73,fast learners
1726,11,42,40,93,62,Average learners
1727,23,46,19,88,58,Average learners
1728,47,27,18,92,61,Average learners
1729,45,45,47,137,91,fast learners
1730,14,32,23,69,46,slow leaners
1731,40,18,42,100,66,Average learners
1732,35,44,20,99,66,Average learners
1733,28,44,36,108,72,fast learners
1734,41,25,49,115,76,fast learners
1735,38,28,36,102,68,Average learners
1736,18,27,35,80,53,Average learners
1737,12,13,41,66,44,slow leaners
1738,40,32,47,119,79,fast learners
1739,32,38,27,97,64,Average learners
1740,35,13,47,95,63,Average learners
1741,27,14,26,67,44,slow leaners
1742,36,44,19,99,66,Average learners
1743,23,31,31,85,56,Average learners
1744,10,25,40,75,50,Average learners
1745,14,12,17,43,28,slow leaners
1746,45,33,18,96,64,Average learners
1747,45,44,33,122,81,fast learners
1748,39,10,26,75,50,Average learners
1749,12,40,41,93,62,Average learners
1750,24,11,38,73,48,slow leaners
1751,43,18,40,101,67,Average learners
1752,47,11,15,73,48,slow leaners
1753,15,14,12,41,27,slow leaners
1754,28,43,23,94,62,Average learners
1755,33,46,26,105,70,fast learners
1756,39,18,31,88,58,Average learners
1757,44,29,36,109,72,fast learners
1758,32,36,26,94,62,Average learners
1759,19,47,31,97,64,Average learners
1760,39,33,37,109,72,fast learners
1761,17,36,38,91,60,Average learners
1762,19,11,24,54,36,slow leaners
1763,46,40,25,111,74,fast learners
1764,11,35,13,59,39,slow leaners
1765,33,18,41,92,61,Average learners
1766,34,34,23,91,60,Average learners
1767,29,15,14,58,38,slow leaners
1768,43,12,37,92,61,Average learners
1769,34,15,33,82,54,Average learners
1770,10,14,31,55,36,slow leaners
1771,18,18,11,47,31,slow leaners
1772,46,49,31,126,84,fast learners
1773,39,33,13,85,56,Average learners
1774,18,22,24,64,42,slow leaners
1775,47,28,26,101,67,Average learners
1776,31,26,10,67,44,slow leaners
1777,15,23,41,79,52,Average learners
1778,18,29,27,74,49,slow leaners
1779,27,28,43,98,65,Average learners
1780,19,22,39,80,53,Average learners
1781,31,22,43,96,64,Average learners
1782,10,35,37,82,54,Average learners
1783,20,45,33,98,65,Average learners
1784,19,33,33,85,56,Average learners
1785,39,22,21,82,54,Average learners
1786,11,37,40,88,58,Average learners
1787,19,47,48,114,76,fast learners
1788,40,20,14,74,49,slow leaners
1789,40,14,29,83,55,Average learners
1790,17,46,27,90,60,Average learners
1791,45,16,35,96,64,Average learners
1792,30,24,35,89,59,Average learners
1793,39,30,31,100,66,Average learners
1794,24,20,12,56,37,slow leaners
1795,10,46,21,77,51,Average learners
1796,48,29,45,122,81,fast learners
1797,40,34,17,91,60,Average learners
1798,40,19,13,72,48,slow leaners
1799,34,21,44,99,66,Average learners
1800,34,39,18,91,60,Average learners
1801,30,16,45,91,60,Average learners
1802,22,47,10,79,52,Average learners
1803,44,20,41,105,70,fast learners
1804,43,44,28,115,76,fast learners
1805,20,15,31,66,44,slow leaners
1806,15,34,46,95,63,Average learners
1807,15,23,27,65,43,slow leaners
1808,27,45,12,84,56,Average learners
1809,33,47,31,111,74,fast learners
1810,11,31,17,59,39,slow leaners
1811,42,41,42,125,83,fast learners
1812,18,11,12,41,27,slow leaners
1813,11,20,49,80,53,Average learners
1814,24,11,47,82,54,Average learners
1815,16,40,12,68,45,slow leaners
1816,24,35,17,76,50,Average learners
1817,22,21,28,71,47,slow leaners
1818,44,30,21,95,63,Average learners
1819,36,29,33,98,65,Average learners
1820,17,29,43,89,59,Average learners
1821,32,30,29,91,60,Average learners
1822,21,45,15,81,54,Average learners
1823,38,15,43,96,64,Average learners
1824,12,43,37,92,61,Average learners
1825,32,32,17,81,54,Average learners
1826,30,45,48,123,82,fast learners
1827,15,35,33,83,55,Average learners
1828,25,37,13,75,50,Average learners
1829,39,33,31,103,68,Average learners
1830,32,10,21,63,42,slow leaners
1831,45,33,45,123,82,fast learners
1832,29,48,11,88,58,Average learners
1833,37,34,24,95,63,Average learners
1834,19,26,43,88,58,Average learners
1835,41,26,13,80,53,Average learners
1836,16,33,19,68,45,slow leaners
1837,12,10,25,47,31,slow leaners
1838,23,19,27,69,46,slow leaners
1839,45,38,19,102,68,Average learners
1840,25,46,43,114,76,fast learners
1841,30,40,22,92,61,Average learners
1842,33,31,21,85,56,Average learners
1843,45,29,35,109,72,fast learners
1844,19,42,27,88,58,Average learners
1845,23,29,19,71,47,slow leaners
1846,45,15,11,71,47,slow leaners
1847,23,13,20,56,37,slow leaners
1848,39,45,43,127,84,fast learners
1849,38,30,34,102,68,Average learners
1850,25,43,17,85,56,Average learners
1851,11,25,35,71,47,slow leaners
1852,20,27,38,85,56,Average learners
1853,47,42,44,133,88,fast learners
1854,43,45,38,126,84,fast learners
1855,22,13,37,72,48,slow leaners
1856,48,47,49,144,96,fast learners
1857,38,37,12,87,58,Average learners
1858,12,40,34,86,57,Average learners
1859,31,11,45,87,58,Average learners
1860,45,11,33,89,59,Average learners
1861,46,15,10,71,47,slow leaners
1862,37,15,47,99,66,Average learners
1863,17,14,32,63,42,slow leaners
1864,35,25,32,92,61,Average learners
1865,20,35,26,81,54,Average learners
1866,31,21,23,75,50,Average learners
1867,21,38,13,72,48,slow leaners
1868,39,17,38,94,62,Average learners
1869,17,47,36,100,66,Average learners
1870,25,36,13,74,49,slow leaners
1871,43,40,30,113,75,fast learners
1872,38,27,12,77,51,Average learners
1873,28,34,43,105,70,fast learners
1874,26,17,47,90,60,Average learners
1875,35,24,25,84,56,Average learners
1876,33,18,21,72,48,slow leaners
1877,43,11,29,83,55,Average learners
1878,42,23,41,106,70,fast learners
1879,12,32,36,80,53,Average learners
1880,15,32,31,78,52,Average learners
1881,22,20,34,76,50,Average learners
1882,21,35,31,87,58,Average learners
1883,22,42,47,111,74,fast learners
1884,14,38,20,72,48,slow leaners
1885,44,31,32,107,71,fast learners
1886,35,32,16,83,55,Average learners
1887,20,28,42,90,60,Average learners
1888,43,17,24,84,56,Average learners
1889,36,11,30,77,51,Average learners
1890,20,49,15,84,56,Average learners
1891,17,39,24,80,53,Average learners
1892,25,49,15,89,59,Average learners
1893,31,15,35,81,54,Average learners
1894,45,44,31,120,80,fast learners
1895,26,16,37,79,52,Average learners
1896,44,37,43,124,82,fast learners
1897,16,32,31,79,52,Average learners
1898,42,33,15,90,60,Average learners
1899,45,24,29,98,65,Average learners
1900,30,12,14,56,37,slow leaners
1901,34,15,48,97,64,Average learners
1902,41,32,39,112,74,fast learners
1903,47,12,49,108,72,fast learners
1904,42,46,25,113,75,fast learners
1905,47,13,14,74,49,slow leaners
1906,35,16,17,68,45,slow leaners
1907,26,17,19,62,41,slow leaners
1908,34,30,27,91,60,Average learners
1909,20,29,14,63,42,slow leaners
1910,23,41,42,106,70,fast learners
1911,24,41,41,106,70,fast learners
1912,47,26,29,102,68,Average learners
1913,20,29,31,80,53,Average learners
1914,38,15,20,73,48,slow leaners
1915,31,42,26,99,66,Average learners
1916,15,42,26,83,55,Average learners
1917,20,33,23,76,50,Average learners
1918,48,23,49,120,80,fast learners
1919,41,40,31,112,74,fast learners
1920,25,44,48,117,78,fast learners
1921,12,37,11,60,40,slow leaners
1922,22,38,33,93,62,Average learners
1923,49,30,34,113,75,fast learners
1924,21,27,23,71,47,slow leaners
1925,29,24,19,72,48,slow leaners
1926,28,42,47,117,78,fast learners
1927,28,27,16,71,47,slow leaners
1928,46,11,40,97,64,Average learners
1929,17,26,12,55,36,slow leaners
1930,24,29,45,98,65,Average learners
1931,34,15,28,77,51,Average learners
1932,36,41,42,119,79,fast learners
1933,22,26,21,69,46,slow leaners
1934,17,42,32,91,60,Average learners
1935,14,48,36,98,65,Average learners
1936,22,36,41,99,66,Average learners
1937,41,43,23,107,71,fast learners
1938,32,21,24,77,51,Average learners
1939,19,45,43,107,71,fast learners
1940,13,18,38,69,46,slow leaners
1941,41,33,44,118,78,fast learners
1942,34,22,41,97,64,Average learners
1943,30,33,33,96,64,Average learners
1944,49,33,14,96,64,Average learners
1945,13,21,34,68,45,slow leaners
1946,23,33,47,103,68,Average learners
1947,49,37,25,111,74,fast learners
1948,33,33,46,112,74,fast learners
1949,22,44,42,108,72,fast learners
1950,10,20,11,41,27,slow leaners
1951,20,42,23,85,56,Average learners
1952,16,18,36,70,46,slow leaners
1953,14,11,39,64,42,slow leaners
1954,36,37,39,112,74,fast learners
1955,33,26,30,89,59,Average learners
1956,44,38,36,118,78,fast learners
1957,21,12,44,77,51,Average learners
1958,15,31,33,79,52,Average learners
1959,36,26,34,96,64,Average learners
1960,19,18,18,55,36,slow leaners
1961,21,30,48,99,66,Average learners
1962,28,12,19,59,39,slow leaners
1963,47,20,42,109,72,fast learners
1964,14,29,31,74,49,slow leaners
1965,17,41,41,99,66,Average learners
1966,23,31,11,65,43,slow leaners
1967,24,45,23,92,61,Average learners
1968,17,14,26,57,38,slow leaners
1969,39,49,21,109,72,fast learners
1970,19,31,27,77,51,Average learners
1971,19,45,21,85,56,Average learners
1972,37,47,26,110,73,fast learners
1973,25,31,13,69,46,slow leaners
1974,25,42,13,80,53,Average learners
1975,19,46,17,82,54,Average learners
1976,11,35,34,80,53,Average learners
1977,24,12,25,61,40,slow leaners
1978,13,19,48,80,53,Average learners
1979,32,24,31,87,58,Average learners
1980,32,49,34,115,76,fast learners
1981,33,30,18,81,54,Average learners
1982,28,42,14,84,56,Average learners
1983,13,17,45,75,50,Average learners
1984,38,31,11,80,53,Average learners
1985,48,32,13,93,62,Average learners
1986,47,33,30,110,73,fast learners
1987,16,45,39,100,66,Average learners
1988,19,33,36,88,58,Average learners
1989,44,20,20,84,56,Average learners
1990,48,18,38,104,69,Average learners
1991,36,22,33,91,60,Average learners
1992,23,35,10,68,45,slow leaners
1993,27,48,11,86,57,Average learners
1994,35,25,46,106,70,fast learners
1995,43,29,16,88,58,Average learners
1996,25,35,40,100,66,Average learners
1997,15,21,21,57,38,slow leaners
1998,17,32,33,82,54,Average learners
1999,44,37,11,92,61,Average learners
2000,30,39,25,94,62,Average learners
2001,26,22,30,78,52,Average learners
2002,11,48,23,82,54,Average learners
2003,15,49,16,80,53,Average learners
2004,34,36,17,87,58,Average learners
2005,27,28,13,68,45,slow leaners
2006,18,41,13,72,48,slow leaners
2007,39,26,47,112,74,fast learners
2008,48,24,49,121,80,fast learners
2009,32,32,42,106,70,fast learners
2010,43,17,45,105,70,fast learners
2011,10,29,48,87,58,Average learners
2012,18,30,30,78,52,Average learners
2013,49,10,16,75,50,Average learners
2014,24,28,36,88,58,Average learners
2015,13,36,34,83,55,Average learners
2016,11,46,33,90,60,Average learners
2017,43,43,24,110,73,fast learners
2018,27,43,22,92,61,Average learners
2019,46,28,44,118,78,fast learners
2020,23,18,46,87,58,Average learners
2021,42,27,37,106,70,fast learners
2022,13,34,32,79,52,Average learners
2023,31,38,12,81,54,Average learners
2024,37,10,10,57,38,slow leaners
2025,44,19,29,92,61,Average learners
2026,38,41,23,102,68,Average learners
2027,14,31,31,76,50,Average learners
2028,30,38,43,111,74,fast learners
2029,25,45,17,87,58,Average learners
2030,24,37,44,105,70,fast learners
2031,33,41,32,106,70,fast learners
2032,38,21,35,94,62,Average learners
2033,45,37,43,125,83,fast learners
2034,18,46,22,86,57,Average learners
2035,22,12,46,80,53,Average learners
2036,20,10,26,56,37,slow leaners
2037,21,17,10,48,32,slow leaners
2038,48,28,35,111,74,fast learners
2039,41,14,38,93,62,Average learners
2040,44,20,28,92,61,Average learners
2041,43,20,17,80,53,Average learners
2042,10,15,45,70,46,slow leaners
2043,41,39,18,98,65,Average learners
2044,29,44,33,106,70,fast learners
2045,27,38,25,90,60,Average learners
2046,34,34,46,114,76,fast learners
2047,41,22,19,82,54,Average learners
2048,41,10,28,79,52,Average learners
2049,19,48,18,85,56,Average learners
2050,19,27,21,67,44,slow leaners
2051,41,45,12,98,65,Average learners
2052,15,11,32,58,38,slow leaners
2053,25,38,36,99,66,Average learners
2054,48,20,21,89,59,Average learners
2055,33,32,13,78,52,Average learners
2056,23,14,10,47,31,slow leaners
2057,31,47,27,105,70,fast learners
2058,12,49,29,90,60,Average learners
2059,29,41,45,115,76,fast learners
2060,16,36,38,90,60,Average learners
2061,44,18,42,104,69,Average learners
2062,21,18,17,56,37,slow leaners
2063,23,26,49,98,65,Average learners
2064,30,38,18,86,57,Average learners
2065,35,27,31,93,62,Average learners
2066,19,22,48,89,59,Average learners
2067,32,48,24,104,69,Average learners
2068,47,16,24,87,58,Average learners
2069,37,37,46,120,80,fast learners
2070,21,21,10,52,34,slow leaners
2071,37,19,15,71,47,slow leaners
2072,31,10,34,75,50,Average learners
2073,23,32,22,77,51,Average learners
2074,27,23,23,73,48,slow leaners
2075,36,37,38,111,74,fast learners
2076,45,24,34,103,68,Average learners
2077,44,45,44,133,88,fast learners
2078,10,11,23,44,29,slow leaners
2079,36,15,12,63,42,slow leaners
2080,46,25,27,98,65,Average learners
2081,40,47,41,128,85,fast learners
2082,28,38,29,95,63,Average learners
2083,10,49,47,106,70,fast learners
2084,36,25,14,75,50,Average learners
2085,24,23,12,59,39,slow leaners
2086,13,31,14,58,38,slow leaners
2087,12,11,24,47,31,slow leaners
2088,16,31,30,77,51,Average learners
2089,24,31,38,93,62,Average learners
2090,25,40,23,88,58,Average learners
2091,15,49,42,106,70,fast learners
2092,16,18,46,80,53,Average learners
2093,38,47,44,129,86,fast learners
2094,44,10,48,102,68,Average learners
2095,46,34,14,94,62,Average learners
2096,13,37,39,89,59,Average learners
2097,49,30,47,126,84,fast learners
2098,20,43,39,102,68,Average learners
2099,10,44,14,68,45,slow leaners
2100,31,19,46,96,64,Average learners
2101,17,31,21,69,46,slow leaners
2102,43,42,34,119,79,fast learners
2103,29,21,21,71,47,slow leaners
2104,33,32,10,75,50,Average learners
2105,35,46,36,117,78,fast learners
2106,10,40,28,78,52,Average learners
2107,32,19,37,88,58,Average learners
2108,29,27,18,74,49,slow leaners
2109,39,31,11,81,54,Average learners
2110,40,38,22,100,66,Average learners
2111,30,24,48,102,68,Average learners
2112,42,44,10,96,64,Average learners
2113,35,37,40,112,74,fast learners
2114,16,25,38,79,52,Average learners
2115,43,36,47,126,84,fast learners
2116,37,16,34,87,58,Average learners
2117,43,17,10,70,46,slow leaners
2118,17,44,47,108,72,fast learners
2119,13,16,20,49,32,slow leaners
2120,36,45,30,111,74,fast learners
2121,19,27,15,61,40,slow leaners
2122,35,49,14,98,65,Average learners
2123,43,46,17,106,70,fast learners
2124,48,24,42,114,76,fast learners
2125,30,33,21,84,56,Average learners
2126,24,45,37,106,70,fast learners
2127,16,30,47,93,62,Average learners
2128,29,40,21,90,60,Average learners
2129,27,49,10,86,57,Average learners
2130,30,41,10,81,54,Average learners
2131,33,48,18,99,66,Average learners
2132,12,46,26,84,56,Average learners
2133,26,21,44,91,60,Average learners
2134,36,11,48,95,63,Average learners
2135,30,46,48,124,82,fast learners
2136,22,32,44,98,65,Average learners
2137,40,37,16,93,62,Average learners
2138,37,48,24,109,72,fast learners
2139,17,10,29,56,37,slow leaners
2140,27,31,26,84,56,Average learners
